;dtset;qtype;stype;quest_id;question
134;TRAIN SciEntsBank;;;VB_29;When conducting a controlled experiment, why do you use a standard?
135;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_C_VOLTAGE_EXPLAIN_WHY1;Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.
136;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_C_VOLTAGE_EXPLAIN_WHY2;Explain why you got a voltage reading of 1.5 for terminal 2 and the positive terminal.
137;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_C_VOLTAGE_EXPLAIN_WHY6;Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.
138;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_ONLY_EXPLAIN_WHY2;Explain why you got a voltage reading of 0 for terminal 1 and terminal 2.
139;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_ONLY_EXPLAIN_WHY4;Explain why you got a voltage reading of 0 for terminal 1 and terminal 4.
140;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BULB_ONLY_EXPLAIN_WHY6;Explain why you got a voltage reading of 1.5 for terminal 1 and terminal 6.
141;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;BURNED_BULB_LOCATE_EXPLAIN_Q;Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.
142;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;OTHER_TERMINAL_STATE_EXPLAIN_Q;Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?
143;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;TERMINAL_STATE_EXPLAIN_Q;Why do you think those terminals and the negative battery terminal are in the same state?
144;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_AND_GAP_DISCUSS_Q;As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?
145;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_DEFINE_Q;What is voltage?
146;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_DIFF_DISCUSS_1_Q;What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?
147;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_DIFF_DISCUSS_2_Q;What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?
148;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY1;Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.
149;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY3;Explain why you got a voltage reading of 1.5 for terminal 3 and the positive terminal.
150;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY4;Explain why you got a voltage reading of 0 for terminal 4 and the positive terminal.
151;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY5;Explain why you got a voltage reading of 0 for terminal 5 and the positive terminal.
152;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;VOLTAGE_GAP_EXPLAIN_WHY6;Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.
153;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;VOLTAGE_INCOMPLETE_CIRCUIT_2_Q;Why?
154;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;PREDICT;BURNED_BULB_PARALLEL_EXPLAIN_Q1;Explain your reasoning.
155;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;PREDICT;BURNED_BULB_PARALLEL_EXPLAIN_Q2;Explain your reasoning.
156;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;PREDICT;BURNED_BULB_PARALLEL_EXPLAIN_Q3;Explain your reasoning.
157;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;BURNED_BULB_PARALLEL_WHY_Q;Why didn^t bulbs A and C go out after bulb B burned out?
158;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2;Explain your reasoning.
159;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q3;Explain your reasoning.
160;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2;Explain your reasoning.
161;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;PREDICT;HYBRID_BURNED_OUT_EXPLAIN_Q1;Explain your reasoning.
162;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;PREDICT;HYBRID_BURNED_OUT_EXPLAIN_Q3;Explain your reasoning.
163;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;HYBRID_BURNED_OUT_WHY_Q2;Why do both bulbs A and B stay on when bulb C is burned out?
164;TRAIN Beetle;Q_EXPLAIN_GENERIC;EVALUATE;HYBRID_BURNED_OUT_WHY_Q3;Under what circumstances will a damaged/ burned out bulb affect another bulb?
165;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;OPT1_EXPLAIN_Q2;Why not?
166;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;OPT2_EXPLAIN_Q;Describe the paths in this diagram and explain how those paths account for the results.
167;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;PARALLEL_SWITCH_EXPLAIN_Q1;Why was bulb A on when switch Y was open and switch Z was closed?
168;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;PARALLEL_SWITCH_EXPLAIN_Q2;Why was bulb C off when switch Z was open?
169;TRAIN Beetle;Q_EXPLAIN_GENERIC;EVALUATE;PARALLEL_SWITCH_EXPLAIN_Q3;What role does the path play in determining whether or not a switch affects a bulb?
170;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;SWITCH_TABLE_EXPLAIN_Q1;When switch X was closed and switch Y was open, why was bulb A on?
171;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;EVALUATE;SWITCH_TABLE_EXPLAIN_Q2;When switch X was open and switch Y was closed, why were bulbs B and C on?
172;TRAIN Beetle;Q_EXPLAIN_GENERIC;EVALUATE;SWITCH_TABLE_EXPLAIN_Q3;Under what circumstances will a switch affect a bulb?
173;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;CONDITIONS_FOR_BULB_TO_LIGHT;What are the conditions that are required to make a bulb light up?
174;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;PREDICT;DAMAGED_BUILD_EXPLAIN_Q;Explain your reasoning.
175;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;DAMAGED_BULB_EXPLAIN_2_Q;Why does a damaged bulb impact a circuit?
176;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q;Explain your reasoning.
177;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;SHORT_CIRCUIT_EXPLAIN_Q_2;Explain why circuit 2 is not a short circuit.
178;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;SHORT_CIRCUIT_EXPLAIN_Q_4;Explain why circuit 4 is not a short circuit.
179;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;SHORT_CIRCUIT_EXPLAIN_Q_5;Explain why circuit 5 is a short circuit.
180;TRAIN Beetle;Q_EXPLAIN_SPECIFIC;QUESTION;SHORT_CIRCUIT_X_Q;What do you think the red X means?
181;TRAIN Beetle;Q_EXPLAIN_GENERIC;QUESTION;SWITCH_OPEN_EXPLAIN_Q;Why does an open switch impact a circuit?
